"","x"
"1","BOS"
"2","BOS"
"3","BOS"
"4","BOS"
"5","BOS"
"6","BOS"
"7","BOS"
"8","BOS"
"9","BOS"
"10","BOS"
"11","BOS"
"12","BOS"
"13","BOS"
"14","BOS"
"15","BOS"
"16","CLE"
"17","CLE"
"18","CLE"
"19","CLE"
"20","CLE"
"21","CLE"
"22","CLE"
"23","CLE"
"24","CLE"
"25","CLE"
"26","CLE"
"27","CLE"
"28","CLE"
"29","CLE"
"30","CLE"
"31","TOR"
"32","TOR"
"33","TOR"
"34","TOR"
"35","TOR"
"36","TOR"
"37","TOR"
"38","TOR"
"39","TOR"
"40","TOR"
"41","TOR"
"42","TOR"
"43","TOR"
"44","TOR"
"45","TOR"
"46","WAS"
"47","WAS"
"48","WAS"
"49","WAS"
"50","WAS"
"51","WAS"
"52","WAS"
"53","WAS"
"54","WAS"
"55","WAS"
"56","WAS"
"57","WAS"
"58","WAS"
"59","WAS"
"60","ATL"
"61","ATL"
"62","ATL"
"63","ATL"
"64","ATL"
"65","ATL"
"66","ATL"
"67","ATL"
"68","ATL"
"69","ATL"
"70","ATL"
"71","ATL"
"72","ATL"
"73","ATL"
"74","MIL"
"75","MIL"
"76","MIL"
"77","MIL"
"78","MIL"
"79","MIL"
"80","MIL"
"81","MIL"
"82","MIL"
"83","MIL"
"84","MIL"
"85","MIL"
"86","MIL"
"87","MIL"
"88","IND"
"89","IND"
"90","IND"
"91","IND"
"92","IND"
"93","IND"
"94","IND"
"95","IND"
"96","IND"
"97","IND"
"98","IND"
"99","IND"
"100","IND"
"101","IND"
"102","CHI"
"103","CHI"
"104","CHI"
"105","CHI"
"106","CHI"
"107","CHI"
"108","CHI"
"109","CHI"
"110","CHI"
"111","CHI"
"112","CHI"
"113","CHI"
"114","CHI"
"115","CHI"
"116","CHI"
"117","MIA"
"118","MIA"
"119","MIA"
"120","MIA"
"121","MIA"
"122","MIA"
"123","MIA"
"124","MIA"
"125","MIA"
"126","MIA"
"127","MIA"
"128","MIA"
"129","MIA"
"130","MIA"
"131","DET"
"132","DET"
"133","DET"
"134","DET"
"135","DET"
"136","DET"
"137","DET"
"138","DET"
"139","DET"
"140","DET"
"141","DET"
"142","DET"
"143","DET"
"144","DET"
"145","DET"
"146","CHO"
"147","CHO"
"148","CHO"
"149","CHO"
"150","CHO"
"151","CHO"
"152","CHO"
"153","CHO"
"154","CHO"
"155","CHO"
"156","CHO"
"157","CHO"
"158","CHO"
"159","CHO"
"160","CHO"
"161","NYK"
"162","NYK"
"163","NYK"
"164","NYK"
"165","NYK"
"166","NYK"
"167","NYK"
"168","NYK"
"169","NYK"
"170","NYK"
"171","NYK"
"172","NYK"
"173","NYK"
"174","NYK"
"175","NYK"
"176","ORL"
"177","ORL"
"178","ORL"
"179","ORL"
"180","ORL"
"181","ORL"
"182","ORL"
"183","ORL"
"184","ORL"
"185","ORL"
"186","ORL"
"187","ORL"
"188","ORL"
"189","ORL"
"190","ORL"
"191","PHI"
"192","PHI"
"193","PHI"
"194","PHI"
"195","PHI"
"196","PHI"
"197","PHI"
"198","PHI"
"199","PHI"
"200","PHI"
"201","PHI"
"202","PHI"
"203","PHI"
"204","PHI"
"205","PHI"
"206","BRK"
"207","BRK"
"208","BRK"
"209","BRK"
"210","BRK"
"211","BRK"
"212","BRK"
